Group,Year,Demographic,Cases,Rate per 100000
All,2008,All,"47,748",19
All,2009,All,"45,211",17.9
All,2010,All,"43,339",16.9
All,2011,All,"41,623",16.1
All,2012,All,"40,939",15.7
All,2013,All,"39,355",14.9
All,2014,All,"40,047",15.1
All,2015,All,"39,824",14.8
All,2016,All,"39,459",14.6
All,2017,All,"38,226",14
All,2018,All,"37,286",13.6
Age,2008,13-24,"8,604",16.8
Age,2009,13-24,"8,865",17.3
Age,2010,13-24,"9,149",17.6
Age,2011,13-24,"9,104",17.5
Age,2012,13-24,"9,143",17.5
Age,2013,13-24,"8,784",16.8
Age,2014,13-24,"9,129",17.4
Age,2015,13-24,"9,041",17.4
Age,2016,13-24,"8,593",16.6
Age,2017,13-24,"8,090",15.7
Age,2018,13-24,"7,734",15.1
Age,2008,25-34,"12,620",30.8
Age,2009,25-34,"12,083",29.1
Age,2010,25-34,"11,769",28.6
Age,2011,25-34,"11,576",27.7
Age,2012,25-34,"11,917",28.2
Age,2013,25-34,"11,855",27.7
Age,2014,25-34,"12,638",29.1
Age,2015,25-34,"13,053",29.6
Age,2016,25-34,"13,592",30.4
Age,2017,25-34,"13,305",29.3
Age,2018,25-34,"13,322",29.2
Age,2008,35-44,"12,782",30.3
Age,2009,35-44,"11,514",27.7
Age,2010,35-44,"10,220",24.9
Age,2011,35-44,"9,206",22.6
Age,2012,35-44,"8,609",21.2
Age,2013,35-44,"7,889",19.5
Age,2014,35-44,"8,034",19.8
Age,2015,35-44,"7,680",19
Age,2016,35-44,"7,488",18.5
Age,2017,35-44,"7,310",17.9
Age,2018,35-44,"7,158",17.3
Age,2008,45-54,"9,518",21.5
Age,2009,45-54,"8,778",19.7
Age,2010,45-54,"8,287",18.4
Age,2011,45-54,"7,885",17.6
Age,2012,45-54,"7,477",16.9
Age,2013,45-54,"6,891",15.7
Age,2014,45-54,"6,509",15
Age,2015,45-54,"6,325",14.7
Age,2016,45-54,"5,977",14
Age,2017,45-54,"5,641",13.3
Age,2018,45-54,"5,282",12.7
Age,2008,55+,"4,224",5.8
Age,2009,55+,"3,971",5.3
Age,2010,55+,"3,914",5.1
Age,2011,55+,"3,852",4.8
Age,2012,55+,"3,793",4.6
Age,2013,55+,"3,936",4.7
Age,2014,55+,"3,737",4.3
Age,2015,55+,"3,725",4.2
Age,2016,55+,"3,809",4.2
Age,2017,55+,"3,836",4.1
Age,2018,55+,"3,790",4
Race,2008,American Indian/Alaska Native,151,8.1
Race,2009,American Indian/Alaska Native,147,7.8
Race,2010,American Indian/Alaska Native,157,8.7
Race,2011,American Indian/Alaska Native,138,7.5
