year,state,rate
2008,New Hampshire,3.48
2008,Maine,3.49
2008,Wyoming,4.89
2009,New Hampshire,3.25
2009,Maine,4.32
2009,Wyoming,3.49
2010,New Hampshire,4.02
2010,Maine,4.14
2010,Wyoming,3.72
2011,New Hampshire,3.33
2011,Maine,3.69
2011,Wyoming,2.64
2012,New Hampshire,3.78
2012,Maine,3.62
2012,Wyoming,1.39
2013,New Hampshire,2.41
2013,Maine,2.33
2013,Wyoming,2.4
2014,New Hampshire,3
2014,Maine,4.21
2014,Wyoming,1.89
2015,New Hampshire,1.65
2015,Maine,3.46
2015,Wyoming,2.56
2016,New Hampshire,2.98
2016,Maine,3.98
2016,Wyoming,3.59
2017,New Hampshire,2.52
2017,Maine,2.17
2017,Wyoming,1.73
2008,U.S.,16.01
2009,U.S.,14.5
2010,U.S.,13.87
2011,U.S.,13.54
2012,U.S.,13.22
2013,U.S.,13.09
2014,U.S.,12.64
2015,U.S.,12.32
2016,U.S.,12.25
2017,U.S.,11.77
